date,price
11/04/2020,0.9576058280146803
12/04/2020,0.7847113148208426
13/04/2020,0.8759944068917709
14/04/2020,0.7867121945458646
15/04/2020,0.666673390515131
16/04/2020,0.6376210673084666
17/04/2020,0.6923331250859114
18/04/2020,0.657449398309544
19/04/2020,0.6769721852162044
20/04/2020,0.6094358389483635
21/04/2020,0.5347904942320182
22/04/2020,0.5728269210770057
23/04/2020,0.6848872198147996
24/04/2020,0.6217032788666345
25/04/2020,0.6227650900853694
26/04/2020,0.6470903181859691
27/04/2020,0.6398628040694914
28/04/2020,0.5683154806973284
29/04/2020,0.6574283212299112
30/04/2020,0.7411890135877649
01/05/2020,0.693089721323073
02/05/2020,0.7169539321663891
03/05/2020,0.7124378933182761
04/05/2020,0.6866098174679662
05/05/2020,0.6728297405546847
06/05/2020,0.6503081490988862
07/05/2020,0.6194003582280405
08/05/2020,0.6089398899298076
09/05/2020,0.608939662026112
10/05/2020,0.6017917957668725
11/05/2020,0.541777928609612
12/05/2020,0.5139234956267317
13/05/2020,0.5333426539131136
14/05/2020,0.5533191018747785
15/05/2020,0.574281421724847
16/05/2020,0.5564341957677822
17/05/2020,0.5989661106774994
18/05/2020,0.6159337448626931
19/05/2020,0.6477344448774962
20/05/2020,0.6219357513498963
21/05/2020,0.5795859352817158
22/05/2020,0.6055660983994974
23/05/2020,0.6149832258209792
24/05/2020,0.6082201706733519
25/05/2020,0.5465741722754689
26/05/2020,0.6022304108336682
27/05/2020,0.5731399463825178
28/05/2020,0.5884004926151261
29/05/2020,0.5721700884660958
30/05/2020,0.5774323126967125
31/05/2020,0.5858132380721703
01/06/2020,0.5756770028863081
02/06/2020,0.5789755237865244
03/06/2020,0.565814320391003
04/06/2020,0.586205470714686
05/06/2020,0.5867553687536804
06/06/2020,0.6569611049457513
07/06/2020,0.6254174646400334
08/06/2020,0.6193745553415636
09/06/2020,0.6676807419152483
10/06/2020,0.6554185232956307
11/06/2020,0.6503617499580121
12/06/2020,0.5719983046317773
13/06/2020,0.5933564822995189
14/06/2020,0.6088102028493066
15/06/2020,0.586183105523133
16/06/2020,0.5703312716454458
17/06/2020,0.5850988389924333
18/06/2020,0.5818481709972113
19/06/2020,0.6199980008389199
20/06/2020,0.6860916859440122
21/06/2020,0.6445979846649201
22/06/2020,0.6727477930583199
23/06/2020,0.7271729644769215
24/06/2020,0.7067336276588002
25/06/2020,0.7362452622406327
26/06/2020,0.7126894105564204
27/06/2020,0.7407208653820945
28/06/2020,0.7133553688193407
29/06/2020,0.7987604659546775
30/06/2020,0.8531268842862817
01/07/2020,0.8592955544373364
02/07/2020,0.8324592358815799
03/07/2020,0.7746114788082067
04/07/2020,0.7674704652113047
05/07/2020,0.7811871083546776
06/07/2020,0.6921876621707542
07/07/2020,0.708409297313418
08/07/2020,0.7534772552866666
09/07/2020,0.7956141684819489
10/07/2020,0.8504783390765865
11/07/2020,0.9136373735709605
12/07/2020,0.9215341890095095
13/07/2020,1.0175269375576679
14/07/2020,1.1787532874584385
15/07/2020,1.1483561946452148
16/07/2020,1.2935475055510521
17/07/2020,0.8689184704805727
18/07/2020,0.9818241501710889
19/07/2020,0.9673182706042267
20/07/2020,0.9224383437804942
21/07/2020,0.8730589788162091
22/07/2020,0.9763920314535465
23/07/2020,1.0447246666635182
24/07/2020,1.055806292137335
25/07/2020,0.996204458635239
26/07/2020,1.250866425449966
27/07/2020,1.597026052950196
28/07/2020,1.7769558120449132
29/07/2020,1.7839631352797094
30/07/2020,1.6571919291258759
31/07/2020,1.688418732306239
01/08/2020,1.538097031663773
02/08/2020,1.5331373954293075
03/08/2020,1.7460156741727715
04/08/2020,1.8003636805602121
05/08/2020,1.897307254698148
06/08/2020,1.7611833194175444
07/08/2020,2.2019224919095755
08/08/2020,2.073120413084232
09/08/2020,2.473401784088845
10/08/2020,2.659002831147767
11/08/2020,3.135883738986437
12/08/2020,3.264869117899598
13/08/2020,3.7413879301300477
14/08/2020,3.733675412574768
15/08/2020,3.417497219987532
16/08/2020,3.173195437376957
17/08/2020,3.3852267282077353
18/08/2020,3.103088944314995
19/08/2020,3.331062075226566
20/08/2020,2.8961310680437595
21/08/2020,3.2065025821939535
22/08/2020,2.9331894135899335
23/08/2020,3.0217655955968654
24/08/2020,3.3299340513884106
25/08/2020,3.3397770443341135
26/08/2020,3.2612416074765753
27/08/2020,3.5510669414297205
28/08/2020,3.430616121799528
29/08/2020,4.011416157428157
30/08/2020,3.972282229488827
31/08/2020,4.436663533464179
01/09/2020,4.7944618494720785
02/09/2020,4.304353616338777
03/09/2020,4.176224469342381
04/09/2020,3.5139711518755092
05/09/2020,3.5407174542293283
06/09/2020,2.5951717114056416
07/09/2020,3.087153751704757
08/09/2020,2.906438017628754
09/09/2020,2.4742806348861026
10/09/2020,3.6343703512897685
11/09/2020,3.453090001140051
12/09/2020,3.4462085226704344
13/09/2020,3.3326620873211703
14/09/2020,3.22479831179511
15/09/2020,3.2623912097330243
16/09/2020,2.931693208266334
17/09/2020,2.5494654060917625
18/09/2020,2.919199303305689
19/09/2020,3.084079827098842
20/09/2020,3.0147288973338715
21/09/2020,2.8679582577061704
22/09/2020,2.77366022930038
23/09/2020,2.9402155138255073
24/09/2020,2.8355005874806776
25/09/2020,3.130126407105003
26/09/2020,3.191006049537429
27/09/2020,3.1351452155696546
28/09/2020,3.1659948849500643
29/09/2020,2.9557751507195418
30/09/2020,2.945119038534579
01/10/2020,2.895851723928607
02/10/2020,2.866125781133827
03/10/2020,2.6289039111067782
04/10/2020,2.5536378078057957
