date,price,cryptocurrency
2022-12-29 21:00:20,16617.371149015133,bitcoin
2022-12-29 22:00:12,16598.92969745138,bitcoin
2022-12-29 23:02:04,16624.522841212893,bitcoin
2022-12-30 00:00:26,16646.17046569817,bitcoin
2022-12-30 01:01:56,16632.15318565715,bitcoin
2022-12-30 02:01:05,16618.197702634792,bitcoin
2022-12-30 03:01:55,16590.05821290196,bitcoin
2022-12-30 04:01:59,16604.25826712125,bitcoin
2022-12-30 05:00:08,16611.508451563575,bitcoin
2022-12-30 06:01:38,16556.37512954192,bitcoin
2022-12-30 07:01:49,16551.042395918797,bitcoin
2022-12-30 08:00:22,16477.636843416814,bitcoin
2022-12-30 09:00:25,16507.370678168394,bitcoin
2022-12-30 10:01:14,16519.761996291898,bitcoin
2022-12-30 11:02:04,16507.645989295783,bitcoin
2022-12-30 12:00:56,16509.96557539733,bitcoin
2022-12-30 13:00:04,16508.351198384305,bitcoin
2022-12-30 14:00:49,16464.043978658698,bitcoin
2022-12-30 15:01:16,16464.74506036054,bitcoin
2022-12-30 16:02:02,16556.43165628206,bitcoin
2022-12-30 17:01:25,16540.28929526149,bitcoin
2022-12-30 18:01:19,16526.927173167,bitcoin
2022-12-30 19:01:53,16572.473386621306,bitcoin
2022-12-30 20:01:45,16522.768316767153,bitcoin
2022-12-30 21:01:11,16564.34516969592,bitcoin
2022-12-30 22:01:53,16588.158246622832,bitcoin
2022-12-30 23:00:08,16589.02338039684,bitcoin
2022-12-31 00:02:52,16609.13431538681,bitcoin
2022-12-31 01:02:06,16586.47596608323,bitcoin
2022-12-31 02:01:48,16569.09610919195,bitcoin
2022-12-31 03:01:46,16577.45716960254,bitcoin
2022-12-31 04:00:48,16555.193873101696,bitcoin
2022-12-31 05:02:09,16551.31000571462,bitcoin
2022-12-31 06:01:59,16544.73713791309,bitcoin
2022-12-31 07:02:02,16546.7345384431,bitcoin
2022-12-31 08:01:59,16565.631689833943,bitcoin
2022-12-31 09:00:00,16557.105440859435,bitcoin
2022-12-31 10:02:10,16545.049525087477,bitcoin
2022-12-31 11:00:26,16567.29622449143,bitcoin
2022-12-31 12:01:29,16579.76890855689,bitcoin
2022-12-31 13:00:36,16590.381641828037,bitcoin
2022-12-31 14:03:00,16611.607871078406,bitcoin
2022-12-31 15:01:42,16602.348708093585,bitcoin
2022-12-31 16:01:17,16598.821535416228,bitcoin
2022-12-31 17:01:57,16609.04624489281,bitcoin
2022-12-31 18:01:32,16583.059697606008,bitcoin
2022-12-31 19:01:58,16580.246393829664,bitcoin
2022-12-31 20:02:05,16581.7838283338,bitcoin
2022-12-31 21:01:07,16574.68823928953,bitcoin
2022-12-31 22:02:00,16551.80537614912,bitcoin
2022-12-31 23:01:44,16521.815520470438,bitcoin
2023-01-01 00:01:35,16542.456148037014,bitcoin
2023-01-01 01:01:45,16543.034201213337,bitcoin
2023-01-01 02:01:20,16558.02684830619,bitcoin
2023-01-01 03:01:55,16546.030320462633,bitcoin
2023-01-01 04:01:59,16539.208141738363,bitcoin
2023-01-01 05:00:10,16524.263454746153,bitcoin
2023-01-01 06:02:25,16530.65757502096,bitcoin
2023-01-01 07:02:56,16544.695967743428,bitcoin
2023-01-01 08:01:33,16539.63199727606,bitcoin
2023-01-01 09:01:51,16518.854339368434,bitcoin
2023-01-01 10:01:23,16535.32015174961,bitcoin
2023-01-01 11:01:56,16552.887754599018,bitcoin
2023-01-01 12:02:02,16563.797242980156,bitcoin
2023-01-01 13:01:11,16569.56896514037,bitcoin
2023-01-01 14:01:26,16551.156475909316,bitcoin
2023-01-01 15:01:54,16542.454002461684,bitcoin
2023-01-01 16:01:35,16556.997910266502,bitcoin
2023-01-01 17:02:02,16569.203188186417,bitcoin
2023-01-01 18:01:27,16587.610924804063,bitcoin
2023-01-01 19:01:39,16591.826140426027,bitcoin
2023-01-01 20:00:00,16614.18402080543,bitcoin
2023-01-01 21:01:13,16607.992197721123,bitcoin
2023-01-01 22:01:50,16604.227756384946,bitcoin
2023-01-01 23:01:51,16605.620779063007,bitcoin
2023-01-02 00:01:57,16619.067534998238,bitcoin
2023-01-02 01:01:51,16592.18308552005,bitcoin
2023-01-02 02:00:52,16573.79963708846,bitcoin
2023-01-02 03:01:17,16587.601804162463,bitcoin
2023-01-02 04:01:18,16631.603342664966,bitcoin
2023-01-02 05:01:37,16633.211748463018,bitcoin
2023-01-02 06:01:58,16659.87732360911,bitcoin
2023-01-02 07:01:47,16639.835101116987,bitcoin
2023-01-02 08:01:48,16721.39329788587,bitcoin
2023-01-02 09:00:55,16730.802362245846,bitcoin
2023-01-02 10:02:28,16714.782112258043,bitcoin
2023-01-02 11:00:09,16731.399641287568,bitcoin
