date,price
06/01/2014,936.38
07/01/2014,826.5
08/01/2014,838.32
09/01/2014,853.29
10/01/2014,863.3
11/01/2014,905.72
12/01/2014,867.45
13/01/2014,840.96
14/01/2014,838.05
15/01/2014,860.44
16/01/2014,837.98
17/01/2014,812.9
18/01/2014,840.0
19/01/2014,838.17
20/01/2014,869.15
21/01/2014,869.57
22/01/2014,865.03
23/01/2014,846.97
24/01/2014,808.32
25/01/2014,804.39
26/01/2014,853.51
27/01/2014,891.86
28/01/2014,777.0
29/01/2014,816.85
30/01/2014,817.17
31/01/2014,817.93
01/02/2014,832.52
02/02/2014,836.41
03/02/2014,813.38
04/02/2014,832.36
05/02/2014,830.92
06/02/2014,805.08
07/02/2014,721.32
08/02/2014,701.61
09/02/2014,672.07
10/02/2014,689.65
11/02/2014,697.76
12/02/2014,655.26
13/02/2014,651.91
14/02/2014,623.57
15/02/2014,644.1
16/02/2014,613.85
17/02/2014,645.14
18/02/2014,625.01
19/02/2014,620.99
20/02/2014,593.89
21/02/2014,582.75
22/02/2014,571.06
23/02/2014,622.97
24/02/2014,572.39
25/02/2014,489.31
26/02/2014,567.25
27/02/2014,586.28
28/02/2014,567.2
01/03/2014,560.11
02/03/2014,561.35
03/03/2014,585.79
04/03/2014,675.0
05/03/2014,658.24
06/03/2014,654.55
07/03/2014,617.62
08/03/2014,610.37
09/03/2014,636.17
10/03/2014,621.17
11/03/2014,624.23
12/03/2014,638.07
13/03/2014,639.03
14/03/2014,629.67
15/03/2014,638.07
16/03/2014,629.55
17/03/2014,623.705
18/03/2014,612.622
19/03/2014,610.636
20/03/2014,592.07
21/03/2014,582.303
22/03/2014,561.22
23/03/2014,567.779
24/03/2014,571.418
25/03/2014,582.55
26/03/2014,584.442
27/03/2014,567.64
28/03/2014,503.661
29/03/2014,502.302
30/03/2014,469.938
31/03/2014,457.399
01/04/2014,478.7163
02/04/2014,437.515
03/04/2014,447.0822
04/04/2014,448.8792
05/04/2014,464.8259
06/04/2014,460.7028
07/04/2014,457.792
08/04/2014,450.4638
09/04/2014,440.1983
10/04/2014,360.8407
11/04/2014,420.0563
12/04/2014,420.66
13/04/2014,414.9495
14/04/2014,457.6338
15/04/2014,520.1233
16/04/2014,529.1625
17/04/2014,494.4
18/04/2014,478.2312
19/04/2014,501.5515
20/04/2014,497.3177
21/04/2014,492.6733
22/04/2014,484.8533
23/04/2014,487.525
24/04/2014,494.2733
25/04/2014,458.8067
26/04/2014,453.8
27/04/2014,437.9216
28/04/2014,436.92
29/04/2014,443.27
30/04/2014,444.9968
01/05/2014,455.0913
02/05/2014,443.4734
03/05/2014,434.0333
04/05/2014,433.9432
05/05/2014,429.0761
06/05/2014,426.7634
07/05/2014,439.3
08/05/2014,437.3633
09/05/2014,447.4933
10/05/2014,452.505
11/05/2014,436.2833
12/05/2014,439.19
13/05/2014,437.305
14/05/2014,444.2467
15/05/2014,444.25
16/05/2014,445.165
17/05/2014,445.8533
18/05/2014,444.2133
19/05/2014,443.87
20/05/2014,483.4167
21/05/2014,488.7717
22/05/2014,522.6083
23/05/2014,524.475
24/05/2014,523.1083
25/05/2014,569.3767
26/05/2014,579.6217
27/05/2014,569.475
28/05/2014,571.5533
29/05/2014,565.26
30/05/2014,621.1467
31/05/2014,620.5
01/06/2014,640.1617
02/06/2014,656.41
03/06/2014,667.3683
04/06/2014,641.1833
05/06/2014,658.1
06/06/2014,648.63
07/06/2014,651.7083
08/06/2014,649.8983
09/06/2014,643.905
10/06/2014,649.0567
11/06/2014,630.0367
12/06/2014,567.175
13/06/2014,594.6833
14/06/2014,570.0033
15/06/2014,583.41
16/06/2014,592.52
17/06/2014,607.1583
18/06/2014,604.19
19/06/2014,593.3883000000002
20/06/2014,590.055
21/06/2014,591.2567
22/06/2014,595.0367
23/06/2014,586.1482999999998
24/06/2014,582.4149999999998
25/06/2014,561.4716999999999
26/06/2014,579.5867
27/06/2014,598.2367
28/06/2014,594.8717000000001
29/06/2014,598.4883
30/06/2014,637.7549999999999
01/07/2014,643.9350000000001
02/07/2014,648.1075000000002
03/07/2014,640.2838000000003
04/07/2014,627.1288
05/07/2014,627.5812999999999
06/07/2014,631.0025
07/07/2014,619.4950000000002
08/07/2014,620.0474999999996
09/07/2014,620.16
10/07/2014,615.1275000000002
11/07/2014,630.8350000000002
12/07/2014,633.6389951679741
13/07/2014,627.4623228193354
14/07/2014,618.2050265064788
15/07/2014,618.9524999999999
16/07/2014,614.1474999999997
17/07/2014,622.8950000000001
18/07/2014,627.0188000000003
19/07/2014,626.1763000000001
20/07/2014,620.5138
21/07/2014,619.9088000000002
22/07/2014,619.0062999999999
23/07/2014,617.9425000000001
24/07/2014,599.8088
25/07/2014,600.0963000000002
26/07/2014,593.7750000000001
27/07/2014,590.3788
28/07/2014,585.2787999999998
29/07/2014,581.7138
30/07/2014,560.7912999999999
31/07/2014,583.1821057431899
01/08/2014,593.8655273953669
02/08/2014,588.2306991611412
03/08/2014,585.5731940766995
04/08/2014,586.3686859113967
05/08/2014,582.4186267649761
06/08/2014,583.3249999999999
07/08/2014,587.2031590188054
08/08/2014,590.9072702245192
09/08/2014,588.1078559835756
10/08/2014,588.5004825541756
11/08/2014,573.4063
12/08/2014,567.4023482208208
13/08/2014,543.6674999999999
14/08/2014,503.7087999999998
15/08/2014,492.2844982828295
16/08/2014,521.0463000000001
17/08/2014,494.7813
18/08/2014,459.8863000000001
19/08/2014,484.1549999999999
20/08/2014,514.1863000000001
21/08/2014,515.605
22/08/2014,515.8263000000001
23/08/2014,496.5688000000001
24/08/2014,508.1138
25/08/2014,500.3863
26/08/2014,510.6387999999999
27/08/2014,510.4463
28/08/2014,506.9150000000001
29/08/2014,508.0963
30/08/2014,501.5300000000001
31/08/2014,480.0262999999999
01/09/2014,475.8200000000002
02/09/2014,474.6938
03/09/2014,474.7263000000001
04/09/2014,489.5475000000001
05/09/2014,480.2425000000001
06/09/2014,482.3588
07/09/2014,480.6025
08/09/2014,471.1250000000001
09/09/2014,471.7538
10/09/2014,477.1138
11/09/2014,476.3775000000001
12/09/2014,473.6874999999999
13/09/2014,476.0013
14/09/2014,474.795
